,VAL
873,5.0525
874,10.039166
875,19.64999999
876,9.44999999
877,14.188333
878,23.198333
879,25.20499999
880,19.53499899
881,21.523333
882,18.452499
883,24.01
884,31.544167
885,42.35583299
886,28.86499999
887,13.545
888,13.278333
889,9.7675
890,22.746666
891,23.176666
892,27.80499899
893,14.8825
894,14.010833
895,12.045
896,9.63916599
897,10.21166599
898,18.315833
899,18.97833299
900,11.073333
901,11.5775
902,14.08
903,12.82583299
904,12.327499
905,12.721666
906,17.824166
907,22.044166
908,17.988333
909,20.2375
910,18.160833
911,26.384166
912,28.809166
913,36.865833
914,22.798333
915,29.087499
916,30.47916599
917,41.224167
918,24.993333
919,15.335
920,14.080833
921,19.84666599
922,23.7775
923,26.317499
924,26.9375
925,28.903333
926,31.410833
927,29.08083299
928,17.42
929,24.44333299
930,29.719999
931,28.13749899
932,32.51749999
933,26.03416599
934,26.294166
935,12.248333
936,9.3475
937,13.190833
938,23.69
939,20.13083299
940,14.654166
941,13.168333
942,12.10333299
943,11.266666
944,16.95666599
945,23.65166599
946,18.46249999
947,22.04749899
948,27.196666
949,28.785
950,18.53333299
951,13.842499
952,24.92083299
953,26.57583299
954,26.54749899
955,29.084999
956,16.48416599
957,5.9375
958,6.43499999
959,7.5975
960,7.393333
961,7.353333
962,9.37833299
963,16.145
964,13.954166
965,14.459166
966,19.404999
967,18.462499
968,20.47249899
969,19.988333
970,19.844166
971,19.469166
972,20.259166
973,21.879166
974,15.011666
975,8.27083299
976,9.76416599
977,7.211666
978,5.39166599
979,7.920833
980,10.2125
981,11.491666
982,12.125833
983,12.24
984,17.31999899
985,13.150833
986,11.592499
987,10.449166
988,9.765833
989,24.419999
990,17.9675
991,12.9725
992,5.36916599
993,8.87916599
994,17.315833
995,7.546666
996,7.364166
997,10.16666599
998,17.82666599
999,14.705833
1000,15.002499
1001,13.443333
1002,15.45083299
1003,13.66499999
1004,15.855
1005,10.565
1006,7.1275
1007,12.60249999
1008,21.690833
1009,22.356666
1010,14.0625
1011,13.529999
1012,10.810833
1013,17.5025
1014,20.716666
1015,11.963333
1016,6.665833
1017,4.87416599
1018,9.35249999
1019,19.95166599
1020,21.653333
1021,22.99083299
1022,15.555833
1023,18.60333299
1024,18.314166
1025,37.04499899
1026,28.502499
1027,33.695
1028,24.878333
1029,35.333333
1030,44.219166
1031,16.95083299
1032,15.582499
1033,26.265
1034,31.57583299
1035,28.789166
1036,38.35833199
1037,34.72333299
1038,30.39999999
1039,30.35916599
1040,19.45583299
1041,25.35916599
1042,36.35666599
1043,0.0
1044,0.0
1045,31.60916599
1046,53.05749999
1047,63.583333
1048,60.538333
1049,60.70727399
1050,51.36416599
1051,65.56916699
1052,40.484999
1053,38.21249999
1054,44.851666
1055,11.137499
1056,18.0025
1057,20.697499
1058,49.94749999
1059,36.703332
1060,19.975
1061,35.020833
1062,59.864167
1063,25.96
1064,47.430832
1065,93.68555499
1066,94.66499899
1067,105.31083099
1068,94.13333299
1069,78.905832
1070,106.765
1071,68.343332
1072,88.044165
1073,61.37333199
1074,45.70499999
1075,31.244999
1076,36.273333
1077,89.591666
1078,60.333333
1079,48.90083299
1080,45.153333
1081,42.25499899
1082,33.345832
1083,38.616666
1084,59.339167
1085,32.61416599
1086,43.584167
1087,76.354166
1088,46.715
1089,52.92249999
1090,62.64249999
1091,71.50416599
1092,55.653333
1093,40.100833
1094,41.959999
1095,82.636667
1096,86.092499
1097,44.66666599
1098,33.18416599
1099,40.90749999
1100,25.59
1101,32.16583299
1102,41.304166
1103,60.5
1104,29.091666
1105,26.001666
1106,18.5375
1107,7.415833
1108,14.49666599
1109,24.39333299
1110,5.428333
1111,4.820833
1112,12.5625
1113,30.504999
1114,59.883333
1115,86.401666
1116,77.57166499
1117,78.89249999
1118,87.14416599
1119,68.888333
1120,57.71333299
1121,50.938333
1122,69.274545
1123,46.304166
1124,63.58166599
1125,50.53999999
1126,56.72833299
1127,86.729166
1128,67.13249999
1129,9.77749999
1130,33.01833299
1131,53.1225
1132,28.009166
1133,16.96499899
1134,16.88166599
1135,5.143333
1136,8.425833
1137,20.815833
1138,34.53666599
1139,40.9575
1140,33.78416599
1141,36.560833
1142,14.775833
1143,17.975833
1144,23.146666
1145,12.35
1146,20.18583299
1147,36.70583299
1148,41.546666
1149,14.46083299
1150,27.39249999
1151,45.460833
1152,21.63083299
1153,8.26083299
1154,14.46
1155,9.30833299
1156,16.92083299
1157,4.39083299
1158,14.53999999
1159,8.644166
1160,17.849999
1161,30.03499899
1162,27.46
1163,33.299166
1164,31.35833299
1165,26.544166
1166,27.995833
1167,24.024166
1168,24.570833
1169,35.475
1170,11.188333
1171,20.645
1172,14.775
1173,18.92249899
1174,20.17083299
1175,19.294166
1176,38.959166
1177,29.602499
1178,29.634166
1179,26.86416699
1180,53.173333
1181,48.064166
1182,23.948333
1183,26.403333
1184,23.598333
1185,25.70749899
1186,47.895
1187,54.021667
1188,45.039166
1189,34.1325
1190,52.76083299
1191,51.418334
1192,44.93416599
1193,20.413333
1194,16.35
1195,19.947499
1196,18.51833299
1197,16.49749999
1198,20.9675
1199,7.849166
1200,17.59583299
1201,15.37166599
1202,23.08833299
1203,13.95083299
1204,9.54749999
1205,14.221666
1206,22.131667
1207,27.441666
1208,10.163333
1209,7.33
1210,5.636666
1211,7.83
1212,7.04416599
1213,12.22
1214,19.148333
1215,14.006363
1216,4.87916599
1217,11.105
1218,8.015
1219,4.044545
1220,9.644999
1221,15.090833
1222,19.77583299
1223,16.895833
1224,17.861666
1225,13.855
1226,8.9375
1227,3.40833299
1228,8.50666599
1229,17.598333
1230,8.47666599
1231,10.46083299
1232,12.185833
1233,16.54166599
1234,8.28916599
1235,12.269166
1236,9.92999999
