,YY,MM,DD,VAL
293,2015,10,20,18.60333299
294,2015,10,21,18.314166
295,2015,10,22,37.04499899
296,2015,10,23,28.502499
297,2015,10,24,33.695
298,2015,10,25,24.878333
299,2015,10,26,35.333333
300,2015,10,27,44.219166
301,2015,10,28,16.95083299
302,2015,10,29,15.582499
303,2015,10,30,26.265
304,2015,10,31,31.57583299
305,2015,11,1,28.789166
306,2015,11,2,38.35833199
307,2015,11,3,34.72333299
308,2015,11,4,30.39999999
309,2015,11,5,30.35916599
310,2015,11,6,19.45583299
311,2015,11,7,25.35916599
312,2015,11,8,36.35666599
313,2015,11,9,0.0
314,2015,11,10,0.0
315,2015,11,11,31.60916599
316,2015,11,12,53.05749999
317,2015,11,13,63.583333
318,2015,11,14,60.538333
319,2015,11,15,60.70727399
320,2015,11,16,51.36416599
321,2015,11,17,65.56916699
322,2015,11,18,40.484999
323,2015,11,19,38.21249999
324,2015,11,20,44.851666
325,2015,11,21,11.137499
326,2015,11,22,18.0025
327,2015,11,23,20.697499
328,2015,11,24,49.94749999
329,2015,11,25,36.703332
330,2015,11,26,19.975
331,2015,11,27,35.020833
332,2015,11,28,59.864167
333,2015,11,29,25.96
334,2015,11,30,47.430832
335,2015,12,1,93.68555499
336,2015,12,2,94.66499899
337,2015,12,3,105.31083099
338,2015,12,4,94.13333299
339,2015,12,5,78.905832
340,2015,12,6,106.765
341,2015,12,7,68.343332
342,2015,12,8,88.044165
343,2015,12,9,61.37333199
344,2015,12,10,45.70499999
345,2015,12,11,31.244999
346,2015,12,12,36.273333
347,2015,12,13,89.591666
348,2015,12,14,60.333333
349,2015,12,15,48.90083299
350,2015,12,16,45.153333
351,2015,12,17,42.25499899
352,2015,12,18,33.345832
353,2015,12,19,38.616666
354,2015,12,20,59.339167
355,2015,12,21,32.61416599
356,2015,12,22,43.584167
357,2015,12,23,76.354166
358,2015,12,24,46.715
359,2015,12,25,52.92249999
360,2015,12,26,62.64249999
361,2015,12,27,71.50416599
362,2015,12,28,55.653333
363,2015,12,29,40.100833
364,2015,12,30,41.959999
